loan_id,customer_id,customer_name,credit_score,employment_status,branch_id,branch_name,city,region,loan_type,loan_amount,interest_rate,approval_date,loan_term_months,loan_status,loan_age_days,total_payments_made,on_time_payments,late_payments,missed_payments,on_time_pct,max_days_overdue,risk_level
1,101,Customer_101,701,Employed,1,Downtown Metro,New York,Northeast,Home,5001,3.51,2022-01-02,360,Closed,1557.1,6,0,0,6,0.0,0.0,High Risk
2,102,Customer_102,702,Employed,2,Midtown Plaza,New York,Northeast,Auto,5002,3.52,2022-01-03,60,Closed,1556.1,6,0,0,6,0.0,0.0,High Risk
3,103,Customer_103,703,Employed,3,Chicago Central,Chicago,Midwest,Personal,5003,3.53,2022-01-04,36,Closed,1555.1,6,0,6,0,0.0,1528.1,High Risk
4,104,Customer_104,704,Employed,4,Texas Hub,Houston,South,Home,5004,3.54,2022-01-05,360,Closed,1554.1,6,0,6,0,0.0,1528.1,High Risk
5,105,Customer_105,705,Self-Employed,5,Silicon Valley,San Jose,West,Auto,5005,3.55,2022-01-06,60,Closed,1553.1,6,0,6,0,0.0,1528.1,High Risk
6,106,Customer_106,706,Self-Employed,6,West Coast Tower,Los Angeles,West,Personal,5006,3.56,2022-01-07,36,Closed,1552.1,6,0,6,0,0.0,1528.1,High Risk
7,107,Customer_107,707,Self-Employed,7,Miami Beach,Miami,South,Home,5007,3.57,2022-01-08,360,Closed,1551.1,6,0,6,0,0.0,1528.1,High Risk
8,108,Customer_108,708,Retired,8,Boston Financial,Boston,Northeast,Auto,5008,3.58,2022-01-09,60,Active,1550.1,6,6,0,0,100.0,0.0,Medium Risk
9,109,Customer_109,709,Retired,1,Downtown Metro,New York,Northeast,Personal,5009,3.59,2022-01-10,36,Active,1549.1,6,6,0,0,100.0,0.0,Medium Risk
10,110,Customer_110,710,Unknown,2,Midtown Plaza,New York,Northeast,Home,5010,3.6,2022-01-11,360,Active,1548.1,6,0,0,0,0.0,0.0,High Risk
11,111,Customer_111,711,Employed,3,Chicago Central,Chicago,Midwest,Auto,5011,3.61,2022-01-12,60,Active,1547.1,6,6,0,0,100.0,0.0,Medium Risk
12,112,Customer_112,712,Employed,4,Texas Hub,Houston,South,Personal,5012,3.62,2022-01-13,36,Active,1546.1,6,6,0,0,100.0,0.0,Medium Risk
13,113,Customer_113,713,Employed,5,Silicon Valley,San Jose,West,Home,5013,3.63,2022-01-14,360,Active,1545.1,6,6,0,0,100.0,0.0,Medium Risk
14,114,Customer_114,714,Employed,6,West Coast Tower,Los Angeles,West,Auto,5014,3.64,2022-01-15,60,Active,1544.1,6,6,0,0,100.0,0.0,Medium Risk
15,-1,Unknown,0,Unknown,7,Miami Beach,Miami,South,Personal,5015,3.65,2022-01-16,36,Active,1543.1,6,6,0,0,100.0,0.0,Medium Risk
16,116,Customer_116,716,Self-Employed,8,Boston Financial,Boston,Northeast,Home,5016,3.66,2022-01-17,360,Active,1542.1,6,6,0,0,100.0,0.0,Medium Risk
17,117,Customer_117,717,Self-Employed,1,Downtown Metro,New York,Northeast,Auto,5017,3.67,2022-01-18,60,Active,1541.1,6,6,0,0,100.0,0.0,Medium Risk
18,118,Customer_118,718,Retired,2,Midtown Plaza,New York,Northeast,Personal,5018,3.68,2022-01-19,36,Active,1540.1,6,6,0,0,100.0,0.0,Medium Risk
19,119,Customer_119,719,Retired,3,Chicago Central,Chicago,Midwest,Home,5019,3.69,2022-01-20,360,Active,1539.1,6,6,0,0,100.0,0.0,Medium Risk
20,120,Customer_120,720,Unknown,4,Texas Hub,Houston,South,Auto,5020,3.7,2022-01-21,60,Defaulted,1538.1,6,0,0,0,0.0,0.0,High Risk
21,121,Customer_121,721,Employed,5,Silicon Valley,San Jose,West,Personal,5021,3.71,2022-01-22,36,Closed,1537.1,6,6,0,0,100.0,0.0,Medium Risk
22,122,Customer_122,722,Employed,6,West Coast Tower,Los Angeles,West,Home,5022,3.72,2022-01-23,360,Closed,1536.1,6,6,0,0,100.0,0.0,Medium Risk
23,123,Customer_123,723,Employed,7,Miami Beach,Miami,South,Auto,5023,3.73,2022-01-24,60,Closed,1535.1,6,6,0,0,100.0,0.0,Medium Risk
24,124,Customer_124,724,Employed,8,Boston Financial,Boston,Northeast,Personal,5024,3.74,2022-01-25,36,Closed,1534.1,6,6,0,0,100.0,0.0,Medium Risk
25,125,Customer_125,725,Self-Employed,1,Downtown Metro,New York,Northeast,Home,5025,3.75,2022-01-26,360,Closed,1533.1,6,6,0,0,100.0,0.0,Medium Risk
26,126,Customer_126,726,Self-Employed,2,Midtown Plaza,New York,Northeast,Auto,5026,3.76,2022-01-27,60,Closed,1532.1,6,6,0,0,100.0,0.0,Medium Risk
27,127,Customer_127,727,Self-Employed,3,Chicago Central,Chicago,Midwest,Personal,5027,3.77,2022-01-28,36,Closed,1531.1,6,6,0,0,100.0,0.0,Medium Risk
28,128,Customer_128,728,Retired,4,Texas Hub,Houston,South,Home,5028,3.7800000000000002,2022-01-29,360,Active,1530.1,6,6,0,0,100.0,0.0,Medium Risk
29,129,Customer_129,729,Retired,5,Silicon Valley,San Jose,West,Auto,5029,3.79,2022-01-30,60,Active,1529.1,6,6,0,0,100.0,0.0,Medium Risk
30,-1,Unknown,0,Unknown,6,West Coast Tower,Los Angeles,West,Personal,5030,3.8,2022-01-31,36,Active,1528.1,6,0,0,0,0.0,0.0,High Risk
31,131,Customer_131,731,Employed,7,Miami Beach,Miami,South,Home,5031,3.81,2022-02-01,360,Active,1527.1,6,6,0,0,100.0,0.0,Medium Risk
32,132,Customer_132,732,Employed,8,Boston Financial,Boston,Northeast,Auto,5032,3.82,2022-02-02,60,Active,1526.1,6,6,0,0,100.0,0.0,Medium Risk
33,133,Customer_133,733,Employed,1,Downtown Metro,New York,Northeast,Personal,5033,3.83,2022-02-03,36,Active,1525.1,6,6,0,0,100.0,0.0,Medium Risk
34,134,Customer_134,734,Employed,2,Midtown Plaza,New York,Northeast,Home,5034,3.84,2022-02-04,360,Active,1524.1,6,6,0,0,100.0,0.0,Medium Risk
35,135,Customer_135,735,Self-Employed,3,Chicago Central,Chicago,Midwest,Auto,5035,3.85,2022-02-05,60,Active,1523.1,6,6,0,0,100.0,0.0,Medium Risk
36,136,Customer_136,736,Self-Employed,4,Texas Hub,Houston,South,Personal,5036,3.86,2022-02-06,36,Active,1522.1,6,6,0,0,100.0,0.0,Medium Risk
37,137,Customer_137,737,Self-Employed,5,Silicon Valley,San Jose,West,Home,5037,3.87,2022-02-07,360,Active,1521.1,6,6,0,0,100.0,0.0,Medium Risk
38,138,Customer_138,738,Retired,6,West Coast Tower,Los Angeles,West,Auto,5038,3.88,2022-02-08,60,Active,1520.1,6,6,0,0,100.0,0.0,Medium Risk
39,139,Customer_139,739,Retired,7,Miami Beach,Miami,South,Personal,5039,3.89,2022-02-09,36,Active,1519.1,6,6,0,0,100.0,0.0,Medium Risk
40,140,Customer_140,740,Unknown,8,Boston Financial,Boston,Northeast,Home,5040,3.9,2022-02-10,360,Defaulted,1518.1,6,0,0,0,0.0,0.0,High Risk
41,141,Customer_141,741,Employed,1,Downtown Metro,New York,Northeast,Auto,5041,3.91,2022-02-11,60,Closed,1517.1,6,6,0,0,100.0,0.0,Medium Risk
42,142,Customer_142,742,Employed,2,Midtown Plaza,New York,Northeast,Personal,5042,3.92,2022-02-12,36,Closed,1516.1,6,6,0,0,100.0,0.0,Medium Risk
43,143,Customer_143,743,Employed,3,Chicago Central,Chicago,Midwest,Home,5043,3.93,2022-02-13,360,Closed,1515.1,6,6,0,0,100.0,0.0,Medium Risk
44,144,Customer_144,744,Employed,4,Texas Hub,Houston,South,Auto,5044,3.94,2022-02-14,60,Closed,1514.1,6,6,0,0,100.0,0.0,Medium Risk
45,-1,Unknown,0,Unknown,5,Silicon Valley,San Jose,West,Personal,5045,3.95,2022-02-15,36,Closed,1513.1,6,6,0,0,100.0,0.0,Medium Risk
46,146,Customer_146,746,Self-Employed,6,West Coast Tower,Los Angeles,West,Home,5046,3.96,2022-02-16,360,Closed,1512.1,6,6,0,0,100.0,0.0,Medium Risk
47,147,Customer_147,747,Self-Employed,7,Miami Beach,Miami,South,Auto,5047,3.97,2022-02-17,60,Closed,1511.1,6,6,0,0,100.0,0.0,Medium Risk
48,148,Customer_148,748,Retired,8,Boston Financial,Boston,Northeast,Personal,5048,3.98,2022-02-18,36,Active,1510.1,6,6,0,0,100.0,0.0,Medium Risk
49,149,Customer_149,749,Retired,1,Downtown Metro,New York,Northeast,Home,5049,3.99,2022-02-19,360,Active,1509.1,6,6,0,0,100.0,0.0,Medium Risk
50,150,Customer_150,750,Unknown,2,Midtown Plaza,New York,Northeast,Auto,5050,4,2022-02-20,60,Active,1508.1,6,0,0,0,0.0,0.0,High Risk
51,151,Customer_151,751,Employed,3,Chicago Central,Chicago,Midwest,Personal,5051,4.01,2022-02-21,36,Active,1507.1,6,0,0,6,0.0,0.0,High Risk
52,152,Customer_152,752,Employed,4,Texas Hub,Houston,South,Home,5052,4.02,2022-02-22,360,Active,1506.1,6,0,0,6,0.0,0.0,High Risk
53,153,Customer_153,753,Employed,5,Silicon Valley,San Jose,West,Auto,5053,4.03,2022-02-23,60,Active,1505.1,6,0,6,0,0.0,1528.1,High Risk
54,154,Customer_154,754,Employed,6,West Coast Tower,Los Angeles,West,Personal,5054,4.04,2022-02-24,36,Active,1504.1,6,0,6,0,0.0,1528.1,High Risk
55,155,Customer_155,755,Self-Employed,7,Miami Beach,Miami,South,Home,5055,4.05,2022-02-25,360,Active,1503.1,6,0,6,0,0.0,1528.1,High Risk
56,156,Customer_156,756,Self-Employed,8,Boston Financial,Boston,Northeast,Auto,5056,4.0600000000000005,2022-02-26,60,Active,1502.1,6,0,6,0,0.0,1528.1,High Risk
57,157,Customer_157,757,Self-Employed,1,Downtown Metro,New York,Northeast,Personal,5057,4.07,2022-02-27,36,Active,1501.1,6,0,6,0,0.0,1528.1,High Risk
58,158,Customer_158,758,Retired,2,Midtown Plaza,New York,Northeast,Home,5058,4.08,2022-02-28,360,Active,1500.1,6,6,0,0,100.0,0.0,Low Risk
59,159,Customer_159,759,Retired,3,Chicago Central,Chicago,Midwest,Auto,5059,4.09,2022-03-01,60,Active,1499.1,6,6,0,0,100.0,0.0,Low Risk
60,-1,Unknown,0,Unknown,4,Texas Hub,Houston,South,Personal,5060,4.1,2022-03-02,36,Defaulted,1498.1,6,0,0,0,0.0,0.0,High Risk
61,161,Customer_161,761,Employed,5,Silicon Valley,San Jose,West,Home,5061,4.11,2022-03-03,360,Closed,1497.1,6,6,0,0,100.0,0.0,Low Risk
62,162,Customer_162,762,Employed,6,West Coast Tower,Los Angeles,West,Auto,5062,4.12,2022-03-04,60,Closed,1496.1,6,6,0,0,100.0,0.0,Low Risk
63,163,Customer_163,763,Employed,7,Miami Beach,Miami,South,Personal,5063,4.13,2022-03-05,36,Closed,1495.1,6,6,0,0,100.0,0.0,Low Risk
64,164,Customer_164,764,Employed,8,Boston Financial,Boston,Northeast,Home,5064,4.14,2022-03-06,360,Closed,1494.1,6,6,0,0,100.0,0.0,Low Risk
65,165,Customer_165,765,Self-Employed,1,Downtown Metro,New York,Northeast,Auto,5065,4.15,2022-03-07,60,Closed,1493.1,6,6,0,0,100.0,0.0,Low Risk
